英単語,意味,一般的な意味,例文
sacrifice,犠牲にする,犠牲にする、～を捧げる、犠牲,He made a great sacrifice of his free time to practice basketball every day. （彼は毎日バスケットボールを練習するために、自由時間を大きく犠牲にしました。）
pile,積み重ね,山、積み重ね、～を積み重ねる,There was a pile of basketballs in the corner of the gym. （体育館の隅にバスケットボールが山積みになっていた。）
adequate,適切な,十分な、適切な,We have adequate practice time before the basketball match. （私たちにはバスケットボールの試合の前に十分な練習時間があります。）
multiple,多数の,多数の、多様な、複合の,He scored multiple three-pointers during the crucial third quarter. （彼は重要な第3クォーターの間に複数の3ポイントシュートを決めた。）
sustain,支える、維持する,～を維持する、～を支える、～を被る,It is important to sustain a strong defense throughout the whole basketball game. （バスケットボールの試合全体を通して強力な守備を維持することが重要です。）
stimulate,刺激する,～を刺激する、～を活気づける、～を促す,The coach's words stimulated the players to play with more energy. （コーチの言葉は選手たちを刺激し、よりエネルギッシュにプレイさせました。）
empire,帝国,帝国、大企業,Their team built a basketball empire by winning five consecutive titles. （彼らのチームは5連覇を達成してバスケットボールの王国を築いた。）
commute,通勤する,通勤する、通学する,He has to commute for an hour every day to attend basketball practice. （彼はバスケットボールの練習に参加するために毎日1時間かけて通学しています。）
yield,生む、産出する,～を産出する、屈する、譲る,His daily practice yielded great results in the basketball match. （彼の毎日の練習は、バスケットボールの試合で大きな成果を生み出しました。）
obstacle,障害,障害、妨害（物）,The tall defender was a major obstacle for us to reach the basket. （背の高いディフェンダーは、私たちがバスケットに到達するための大きな障害でした。）
bare,むき出しの,裸の、露出した、最低限の,He caught the fast pass with his bare hands. （彼はその素早いパスを素手で受け止めた。）
remark,言う、述べる,～と述べる、意見、感想,The coach made a remark about our defense during halftime. （監督はハーフタイム中に私たちのディフェンスについてコメントした。）
fate,運命,運命、宿命、結末,The buzzer-beater shot decided the fate of the basketball team. （ブザービーターのシュートがバスケットボールチームの運命を決定づけました。）
enthusiasm,熱中,情熱、熱意、熱狂,The players showed great enthusiasm during the basketball practice. （選手たちはバスケットボールの練習中に素晴らしい熱意を見せた。）
fold,折りたたむ,～を折りたたむ、～を組む、折りかえす,The coach folded his arms while watching the basketball game. （コーチは腕を組みながらバスケットボールの試合を見ていた。）
detective,探偵,探偵、刑事,The point guard acted like a detective to read the opponent's tactics. （ポイントガードは相手の戦術を読むために探偵のように振る舞いました。）
envelope,封筒、包み,封筒,Please put the tickets for the basketball game in an envelope. （バスケットボールの試合のチケットを封筒に入れてください。）
cattle,牛,牛、畜牛,The coach yelled at us for moving like a herd of cattle during practice. （コーチは練習中、私たちが牛の群れのように動いていると言って怒鳴った。）
ceiling,天井,天井、上限,His high shot almost hit the gymnasium ceiling during the basketball game. （バスケットボールの試合中、彼の高いシュートは体育館の天井に届きそうでした。）
divorce,離婚する,離婚、離婚する、～を切り離す,The basketball coach told the players to divorce their emotions from their performance on the court. （バスケットボールのコーチは選手たちに、コート上でのプレーから感情を切り離すように言いました。）
comprehend,理解する,〜を理解する、〜を把握する、〜を含む,It was difficult to comprehend the coach's complex tactics during the game. （試合中にコーチの複雑な戦術を理解するのは難しかった。）
ecology,生態,生態学、環境保護、生態系,The basketball team reduced plastic waste to protect the local ecology. （バスケットボールチームは地域の生態系を守るためにプラスチックごみを削減しました。）
promptly,迅速に、きっかり,迅速に、直ちに、ちょうど,The coach asked us to gather promptly on the basketball court after the break. （コーチは休憩後、すぐにバスケットボールコートに集まるよう私たちに求めた。）
firm,堅い、しっかりして,会社、固い、確固とした,A firm defense is key to winning a tough basketball game. （厳しいバスケットボールの試合に勝つためには、堅実な守備が鍵となります。）
cartoon,マンガ,風刺画、漫画、アニメーション,He loves to draw a cartoon of his favorite basketball player. （彼は大好きなバスケットボール選手の漫画を描くのが好きです。）
manual,手の、人力の,手動の、説明書、体を使う,Every player should read the team's training manual before practice starts. （すべての選手は練習が始まる前にチームのトレーニングマニュアルを読むべきです。）
valid,有効な,有効な、妥当な、正当な,The referee confirmed that the last-second shot was valid. （審判は終了間際のシュートが有効であると確認した。）
channel,海峡、経路,海峡、経路、チャンネル,You should channel your energy into improving your defense. （自分のエネルギーをディフェンスの上達に向けさせるべきです。）
palm,手のひら,手のひら、ヤシ,He rested the basketball in the palm of his hand before making the shot. （彼はシュートを打つ前に、バスケットボールを手のひらに乗せました。）
innocent,無罪の、無邪気な,無実の、罪のない、無邪気な,The player claimed he was innocent of committing the foul. （その選手はファウルを犯していないと主張した。）
bound,〜行きの,～行きの、きっと～する、縛られた,Our team is bound for the national tournament this summer. （私たちのチームはこの夏、全国大会に行くことになっています。）
mess,混乱,散らかっているもの、混乱、台無しにする,The locker room was in a mess after the intense basketball game. （激しいバスケットボールの試合の後、ロッカールームは散らかっていた。）
retain,維持する,～を保持する、～を維持する、～を記憶する,The team worked hard to retain their championship title in the basketball tournament. （そのチームはバスケットボールの大会で優勝タイトルを保持するために懸命に努力しました。）
decent,きちんとした、上品な,きちんとした、かなりの、まともな,He made a decent shot from the three-point line. （彼はスリーポイントラインからまずまずのシュートを決めた。）
chamber,会館、部屋,部屋、会議場、室,The basketball team gathered in the strategy chamber before the big game. （バスケットボールチームは大事な試合の前に戦略室に集まった。）
absence,欠席,欠席、不在、欠如,The captain's absence was heavily felt during the tough basketball game. （厳しいバスケットボールの試合中、キャプテンの不在が大きく響いた。）
prospect,見込み,見通し、可能性、見込み,He is a promising prospect for the high school basketball team. （彼は高校のバスケットボールチームの有望な選手です。）
stare,じっと見る,じっと見る、凝視する、見つめる,He stared at the basket before making the final free throw. （彼は最後のフリースローを打つ前にバスケットをじっと見つめた。）
prejudice,偏見,偏見、先入観、～に偏見を抱かせる,We should not have prejudice against short basketball players. （背の低いバスケットボール選手に対して偏見を持つべきではありません。）
silly,愚かな,愚かな、くだらない、たわいもない,Making a silly foul cost the basketball team the game. （愚かなファウルをしたことで、バスケットボールチームは試合に敗れた。）
assure,保証する,～を保証する、～に請け合う、～を安心させる,The coach assured us that we could win the next basketball game. （コーチは私たちが次のバスケットボールの試合に勝てることを請け合いました。）
obey,従う,～に従う、～を守る,Players must obey the referee's decisions during the basketball game. （選手たちはバスケットボールの試合中、審判の判定に従わなければならない。）
sigh,ため息をつく,ため息をつく、ため息,The coach let out a deep sigh after the team missed the crucial free throw. （チームが重要なフリースローを外したとき、コーチは深いため息をついた。）
seize,つかむ、占領する,つかむ、を捕らえる、を差し押さえる,He managed to seize the loose ball and score a quick basket. （彼はルーズボールを掴み、素早くシュートを決めた。）
genuine,本物の,本物の、真の、誠実な,His passion for basketball is genuine. （彼のバスケットボールに対する情熱は本物です。）
fool,ばか者,愚か者、ばか、～をだます,Don't be fooled by his fake pass during the basketball game. （バスケットボールの試合中、彼のフェイクパスにだまされてはいけません。）
plot,陰謀,（小説などの）筋、陰謀、土地,The coach plotted a clever strategy to win the championship game. （コーチは選手権試合に勝つための賢明な戦略を練った。）
shore,岸、浜,岸、海岸、陸地,We need to shore up our defense to win the basketball game. （バスケットボールの試合に勝つために、私たちは守備を強化する必要があります。）
magnificent,壮大な,壮大な、すばらしい、堂々とした,He made a magnificent three-point shot right before the buzzer. （彼はブザーの直前に素晴らしい3ポイントシュートを決めた。）
principal,主要な,主要な、校長、本金の,Winning the national tournament is our basketball team's principal goal this season. （全国大会で優勝することが、今シーズンの私たちのバスケットボールチームの主な目標です。）
endurance,忍耐,忍耐、耐久力、我慢,Building up your endurance is essential for playing a full basketball game. （バスケットボールの試合をフルで戦い抜くには、持久力を高めることが不可欠です。）
sum,合計,合計、金額、要約する,He scored a sum of 30 points in yesterday's basketball game. （彼は昨日のバスケットボールの試合で合計30得点を記録した。）
abundant,豊富な,豊富な、たくさんの、満ちあふれた,He has abundant talent as a basketball player. （彼にはバスケットボール選手としての豊富な才能があります。）
pupil,生徒,生徒、児童、瞳孔,The coach taught his pupils how to shoot three-pointers effectively. （コーチは生徒たちに効果的な3ポイントシュートの打ち方を教えた。）
accelerate,加速する,～を加速させる、～を促進する,The point guard was able to accelerate past the defender and score a layup. （ポイントガードはディフェンダーを追い抜いて加速し、レイアップシュートを決めました。）
scholar,学者,学者,He is known as a true scholar of basketball because he studies game tactics every day. （彼は毎日試合の戦術を研究しているため、真のバスケットボールの探求者として知られています。）
altitude,高度,高度、標高、海抜,The basketball player jumped to an incredible altitude to block the shot. （そのバスケットボール選手はシュートをブロックするために驚くべき高さまで跳び上がった。）
pity,哀れみ,哀れみ、残念なこと、～を哀れむ,It is a pity that our team lost the basketball final by just one point. （私たちのチームがわずか1点差でバスケットボールの決勝戦に敗れたのは残念なことだ。）
anticipate,予期する,予想する、期待する、予期する,The defender anticipated his pass and stole the ball. （ディフェンダーは彼のパスを予測してボールを奪った。）
vanish,消える,消える、消滅する,Their 10-point lead vanished in the last minute of the game. （試合の最後の1分間で、彼らの10点差のリードは消えてしまいました。）
appetite,食欲,食欲、欲求、意欲,The players have a strong appetite for victory this season. （選手たちは今シーズン、勝利への強い意欲を持っています。）
clue,手がかり,手がかり、ヒント,The coach gave us a clue on how to break their strong defense.（コーチは相手の強力なディフェンスを崩すためのヒントを私たちにくれた。）
certificate,証明書,証明書、免許状、修了証,All participants in the basketball camp received a certificate of completion. （バスケットボールキャンプの全参加者が修了証を受け取りました。）
clarify,明確にする,～を明らかにする、～を解明する,The coach clarified the team's strategy before the big game. （コーチは大切な試合の前にチームの戦略を明確にした。）
dispute,口論する,～に異議を唱える、議論する、論争,The team decided to dispute the referee's decision during the basketball game. （そのチームはバスケットボールの試合中に審判の判定に異議を唱えることにした。）
collapse,つぶれる、崩壊,崩壊する、倒れる、破綻する,The team's defense began to collapse under the pressure in the fourth quarter. （第4クォーターでプレッシャーに押され、そのチームの守備は崩壊し始めました。）
deliberate,慎重な,意図的な、慎重な、熟考する,The player made a deliberate foul to stop the clock. （その選手は時間を止めるために意図的なファウルをした。）
miserable,惨めな,惨めな、不幸な、粗末な,The team suffered a miserable defeat in the championship game. （チームは選手権試合で悲惨な敗北を喫した。）
mutual,相互の,相互の、共通の、お互いの,They have mutual respect for each other as basketball rivals. （彼らはバスケットボールのライバルとしてお互いに尊敬し合っています。）
administration,管理,行政、管理、政権,The new team administration decided to hire an experienced basketball coach. （新しいチーム運営陣は経験豊富なバスケットボールのコーチを雇うことに決めました。）
moderate,穏やかな,適度な、控えめな、和らげる,The coach advised us to maintain a moderate pace during the basketball practice. （コーチは私たちに、バスケットボールの練習中に適度なペースを維持するよう助言しました。）
coincidence,偶然の一致,偶然の一致、同時発生,It was a pure coincidence that both team captains wore the number 23. （両チームのキャプテンがともに背番号23を付けていたのは完全な偶然だった。）
launch,発射する,～を開始する、～を発射する、～を売り出す,The team decided to launch a fast attack right after the opponent missed a free throw. （相手がフリースローを外した直後、チームは速攻を開始することに決めました。）
modest,謙虚な,謙虚な、控えめな、わずかな,"Despite scoring 30 points, the star player remained modest about his performance. （30得点を挙げたにもかかわらず、そのエース選手は自分のパフォーマンスに対して謙虚なままでした。）"
assess,査定する,～を評価する、～を査定する、～を判断する,The coach needs to assess the players' conditions before the basketball game. （コーチはバスケットボールの試合前に選手たちのコンディションを評価する必要がある。）
collision,衝突,衝突、激突、対立,The two players had a heavy collision while jumping for the rebound. （リバウンドを争って跳んだ際、2人の選手が激しく衝突しました。）
keen,鋭い,熱心な、鋭い、激しい,He is a keen basketball player who never misses daily practice. （彼は日々の練習を欠かさない熱心なバスケットボール選手です。）
constraint,制約,制約、制限、束縛,"Due to time constraints, we had to shorten our basketball practice. （時間の制約のため、私たちはバスケットボールの練習を短縮しなければなりませんでした。）"
triumph,勝利,勝利、大成功、勝利を収める,The team celebrated their triumph in the tournament final. （チームはトーナメント決勝での勝利を祝いました。）
contaminate,汚染する,～を汚染する、～を汚す,A single violation could contaminate the reputation of the basketball team. （たった一つの違反が、バスケットボールチームの評判を汚す可能性がある。）
descend,降りる,下る、降りる、伝わる,The player caught the rebound in the air and safely descended to the court floor. （その選手は空中でリバウンドをキャッチし、安全にコートへと降り立った。）
criterion,基準,基準、標準、尺度,Height is an important criterion for choosing starting players in basketball. （身長はバスケットボールでスターティングメンバーを選ぶための重要な基準です。）
assembly,集会,集会、組み立て、議会,All team members gathered for the morning assembly before the basketball tournament. （バスケットボールの大会の前に、全チームのメンバーが朝の集会のために集まりました。）
density,密度,密度、濃度,The high defense density near the basket made it difficult to score. （ゴール付近の守備の密度が高く、得点するのが難しかった。）
splendid,すばらしい,すばらしい、立派な、見事な,He made a splendid shot in the last seconds of the basketball game. （彼はバスケットボールの試合のラスト数秒で素晴らしいシュートを決めた。）
derive,引き出す,～を得る、～に由来する、～を導き出す,Many players derive confidence from daily basketball practice. （多くの選手は日々のバスケットボールの練習から自信を得ています。）
negotiate,交渉する,交渉する、を取り決める、を乗り越える,The captain tried to negotiate with the referee about the call. （キャプテンは判定について審判と交渉しようとした。）
dispose,処分する,配置する、処理する、～する気にさせる,The basketball team managed to dispose of their rivals in the final game. （そのバスケットボールチームは決勝戦でライバルを破ることができた。）
nasty,いやな,不快な、意地悪な、えげつない,He committed a nasty foul to stop the opponent's fast break. （彼は相手の速攻を止めるために悪質なファウルをした。）
duration,期間,継続、期間、所要時間,He played for the entire duration of the basketball game. （彼はバスケットボールの試合の全時間にわたってプレーした。）
behalf,利益,利益、味方、代理,He accepted the trophy on behalf of the basketball team. （彼はバスケットボールチームを代表してトロフィーを受け取った。）
emit,放出する,～を出す、～を発する,The shoes emit a high-pitched squeak as the player stops on the basketball court. （プレイヤーがバスケットボールコートで急速に止まると、シューズが甲高い音を発します。）
controversy,論争,論争、議論,The referee's call caused a major controversy during the basketball game. （審判の判定はバスケットボールの試合中に大きな物議を醸した。）
enhance,高める,～を高める、～を増す、～を向上させる,Daily practice will enhance your basketball skills. （毎日の練習はあなたのバスケットボールの技術を高めるでしょう。）
grocery,食料雑貨店,食料雑貨類、食料雑貨店,Our coach bought groceries to prepare healthy meals for the basketball team. （コーチはバスケットボールチームのために健康的な食事を準備しようと食料雑貨を買いました。）
evaluate,評価する,～を評価する、～を査定する、～を見積もる,The coach will evaluate our performance after the basketball game. （コーチはバスケットボールの試合後に私たちのパフォーマンスを評価する予定です。）
hemisphere,半球,半球,Basketball is a popular sport in both the Northern and Southern Hemispheres. （バスケットボールは北半球と南半球の両方で人気のあるスポーツです。）
exhaust,使い果たす、排気,～を疲れ果てさせる、～を使い果たす、排気する,The tough basketball practice completely exhausted all the players. （厳しいバスケットボールの練習によって、選手たちは体力を完全に使い果たしました。）
expire,期限が切れる,期限が切れる、満了する、息を引き取る,The shot clock expired before he could shoot the basketball. （彼がバスケットボールをシュートする前にショットクロックの時間が終了しました。）
extinct,絶滅した,絶滅した、廃れた、消えた,That classic playing style has become almost extinct in modern basketball. （その伝統的なプレースタイルは、現代のバスケットボールではほとんど見られなくなりました。）
bind,縛る,～を縛る、～を結びつける、～を義務づける,Teamwork and strong defense bind our basketball team together. （チームワークと強い守備が私たちのバスケットボールチームを結束させています。）
gaze,見つめる,じっと見る、凝視する、見つめる,He fixed his gaze on the hoop before taking the free throw. （彼はフリースローを打つ前に、じっとリングを見つめました。）
implement,実行する,実行する、実施する、道具,The coach decided to implement a new defense tactic in the second half. （コーチは後半に新しい守備戦術を実行することに決めた。）
rub,こする,～をこする、～を擦り込む、～を磨く,He rubbed the basketball between his hands to get a better grip before taking the shot. （彼はシュートを打つ前に、グリップをよくするためにバスケットボールを両手でこすり合わせた。）
infer,推測する,推測する、推論する,"From the opponent's formation, the coach could infer their next strategy. （相手の陣形から、コーチは彼らの次の戦略を推測することができた。）"
surgeon,外科医,外科医,The player had to see a surgeon after injuring his knee during the basketball game. （その選手はバスケットボールの試合中に膝を負傷した後、外科医に診てもらう必要がありました。）
intake,摂取,摂取、摂取量、取り入れ,Athletes need to monitor their daily calorie intake during the basketball season. （バスケットボールのシーズン中、選手たちは毎日のカロリー摂取量を管理する必要があります。）
drain,排水管,～の水を抜く、～を消耗させる、排出する,The tough basketball practice completely drained my energy. （ハードなバスケットボールの練習で私の体力がすっかり奪われた。）
conquer,征服する,征服する、打ち勝つ、克服する,Our team practiced hard to conquer our strongest rivals in the championship game. （私たちのチームは、選手権大会で最強のライバルに打ち勝つために猛練習しました。）
spoil,だめにする,台無しにする、甘やかす、腐る,A careless foul spoiled our team's chance to win the basketball game. （不注意なファウルが、私たちのチームがバスケットボールの試合に勝つチャンスを台無しにしました。）
frequent,頻繁の,頻繁な、たびたびの,Frequent practice made our basketball team much stronger. （頻繁な練習によって、私たちのバスケットボールチームははるかに強くなりました。）
companion,仲間,仲間、連れ、伴侶,He has been my best companion on the basketball team since junior high school. （彼は中学時代からバスケットボールチームで私の最高の仲間です。）
neglect,怠慢,～を怠る、～を無視する、～を放置する,The team lost the game because they neglected their defense practice. （チームは守備の練習を怠ったため、試合に敗れた。）
affair,こと、事件,情勢、出来事、問題,Managing team tactics is an important affair for the basketball coach. （チームの戦術を管理することは、バスケットボールのコーチにとって重要な業務です。）
despair,絶望する,絶望、諦め、絶望する,The team fell into despair after losing the final basketball match by just one point. （わずか1点差でバスケットボールの決勝戦に敗れ、チームは絶望に包まれた。）
scarcely,ほとんど〜ない,ほとんど～ない、かろうじて,He could scarcely believe that his buzzer-beater won the game. （彼は自分のブザービーターで試合に勝ったことがほとんど信じられなかった。）
absolute,絶対的な,絶対的な、完全な、無条件の,He has absolute confidence in his basketball team. （彼は自分のバスケットボールチームに絶対的な信頼を寄せています。）
scatter,ばらまく,～を撒き散らす、散らばる、散らす,The players scattered to their positions after the timeout. （タイムアウトの後、選手たちはそれぞれのポジションへ散らばった。）
awkward,ぶざまな,気まずい、ぎこちない、不器用な,"After losing the basketball game, there was an awkward silence in the locker room. （バスケットボールの試合に敗れた後、ロッカールームには気まずい沈黙が流れていた。）"
forecast,予報する,～を予測する、～を予報する、予測,The coach's forecast for the next basketball game was accurate. （次のバスケットボールの試合に対するコーチの予測は正確でした。）
grasp,つかむ,～を把握する、～をしっかりつかむ、理解,He firmly grasped the ball with both hands to secure the rebound. （彼はリバウンドを確実にするために、両手でボールをしっかり掴みました。）
cease,終わる、やめる,やめる、終わる、中止する,The referee blew the whistle to make the players cease playing. （審判は選手たちにプレーをやめさせるために笛を吹いた。）
polish,磨く,～を磨く、～を洗練させる、つや,He needs to polish his basketball skills before the main tournament. （彼は本大会までにバスケットボールの技術を磨く必要があります。）
carve,彫る,～を彫る、～を刻む、～を切り分ける,The player carved out space near the basket to catch the pass. （その選手はパスを受けるためにゴール付近でスペースを切り開きました。）
infant,幼児,幼児、赤ん坊,The famous basketball player has loved playing with a ball since he was an infant. （その有名なバスケットボール選手は幼少期の頃からボールで遊ぶのが好きでした。）
starve,飢える,餓死する、飢える、～を切望する,The basketball team was starving for a victory in the final tournament. （そのバスケットボールチームは最後の大会での勝利を切望していた。）
altogether,全く,全部で、完全に、要するに,Our team scored eighty points altogether in yesterday's basketball match. （私たちのチームは昨日のバスケットボールの試合で全部で80点を決めました。）
substitute,代替する,～を代用する、代理人、代わりの,The coach decided to send a substitute player onto the court. （コーチは交代選手をコートに送り出すことに決めました。）
strain,痛める,負担、緊張、～を痛める,The player strained his muscle during the basketball game. （その選手はバスケットボールの試合中に筋肉を痛めました。）
thoroughly,徹底的に,徹底的に、すっかり、完全に,The coach thoroughly reviewed the team's tactics before the big game. （コーチは大一番の試合の前にチームの戦術を徹底的に復習した。）
suicide,自殺,自殺、自殺行為,Our coach made us run suicides at the end of basketball practice. （コーチはバスケットボールの練習の最後に私たちにシャトルランをやらせた。）
tolerant,寛容な,寛容な、耐性のある、容認する,The coach was tolerant of the players' mistakes during practice. （コーチは練習中の選手たちのミスに対して寛容でした。）
council,会議,会議、評議会、地方議会,The student council decided to hold a basketball tournament next month. （生徒会は来月バスケットボール大会を開催することを決定しました。）
utilize,利用する,～を利用する、～を活用する,The coach advised us to utilize timeouts effectively during the basketball game. （監督はバスケットボールの試合中にタイムアウトを効果的に活用するよう私たちに助言した。）
optimistic,楽観主義の,楽観的な、楽観主義の,The coach remains optimistic that our basketball team will win the next game. （コーチは私たちのバスケットボールチームが次の試合に勝つと楽観視しています。）
utter,発する,完全な、～を発する、口に出す,The coach did not utter a single word during the timeout. （コーチはタイムアウトの間、一言も発しなかった。）
conservative,保守的な,保守的な、控えめな,The coach chose a conservative strategy to protect their lead in the final quarter. （コーチは最終クォーターでリードを守るために保守的な戦略を選んだ。）
validate,検証する,～を検証する、～を有効にする、～を立証する,The referee checked the replay video to validate the game-winning shot. （審判は決勝シュートが有効かどうかを検証するためにリプレイ映像を確認した。）
scheme,計略,計画、枠組み、陰謀,The coach devised a new defensive scheme for the next basketball game. （監督は次のバスケットボールの試合のために新しい守備計画を考案しました。）
venue,会場,会場、開催地,The arena will serve as the venue for the high school basketball tournament. （そのアリーナは高校バスケットボール大会の会場となります。）
margin,余白,余白、差、利益,They won the basketball game by a narrow margin. （彼らは僅差でバスケットボールの試合に勝利した。）
warranty,保証,保証、保証書、根拠,The basketball shoes come with a one-year warranty. （そのバスケットボールシューズには1年間の保証が付いています。）
rear,育てる,後部の、～を育てる,He passed the ball to a player in the rear. （彼は後方にいる選手にボールをパスした。）
depart,出発する,出発する、去る、逸れる,The basketball team will depart for the tournament early tomorrow morning. （バスケットボールチームは明日の早朝、大会に向けて出発します。）
invasion,侵入,侵略、侵害、侵入,The team stopped the opponent's invasion into the paint area with strong defense. （そのチームは強力なディフェンスで相手のペイントエリアへの侵入を防いだ。）
entitle,資格を与える,～に権利を与える、～に題名をつける,Winning the tournament entitles the team to enter the national championship. （大会で優勝すると、チームには全国大会に出場する権利が与えられます。）
stroke,発作、なでる,脳卒中、打撃、撫でる,He practiced his shooting stroke every day to improve his accuracy. （彼は精度を上げるために毎日シュートフォームを練習しました。）
consent,同意する,同意する、承諾、同意,The coach gave his consent for us to use the gym after school for extra practice. （コーチは放課後に自主練習で体育館を使うことに同意してくれました。）
compromise,妥協、歩み寄る,妥協する、妥協、～を損なう,Both teams had to compromise on the game strategy during the final timeout. （両チームは最後のタイムアウト中に試合の戦略において妥協しなければならなかった。）
regulate,規制する,～を規制する、～を調整する、～を統制する,The referee was able to regulate the pace of the basketball game. （審判はそのバスケットボールの試合のペースを調整することができた。）
dignity,威厳、品位,尊厳、品格、気品,"Even after losing the final game, the players maintained their dignity and shook hands with their opponents. （決勝戦に敗れた後も、選手たちは尊厳を保ち、相手チームと握手を交わしました。）"
index,索引、指数,索引、見出し、指標,This index shows the overall efficiency of each basketball player. （この指標は各バスケットボール選手の総合的な効率を示しています。）
initiative,独創力、主導,主導権、新計画、自発性,Our point guard took the initiative to lead the basketball team to victory. （私たちのポイントガードが主導権を握り、バスケットボールチームを勝利に導きました。）
cruel,残酷な,残酷な、無慈悲な、厳しい,It was a cruel loss for our basketball team in the final seconds of the game. （試合終了間際の私たちのバスケットボールチームにとって、それは残酷な敗北でした。）
suspend,吊るす,～をつるす、～を一時停止する、～を停職［停学］処分にする,The referee decided to suspend the basketball game due to heavy rain. （審判は大雨のためバスケットボールの試合を一時中断することを決定しました。）
constitution,制定、憲法,憲法、構成、体質,The team created a new constitution to establish rules for daily practice. （チームは毎日の練習のルールを定めるために新しい規約を作りました。）
accommodation,収容能力,宿泊施設、収容、調節,The hotel provided great accommodation for the basketball team during the tournament. （そのホテルは大会期間中、バスケットボールチームに素晴らしい宿泊施設を提供しました。）
supreme,最高の,最高の、至高の,Winning the national championship is the supreme goal for our basketball team. （全国大会で優勝することが、私たちのバスケットボールチームの最高の目標です。）
pension,年金,年金、恩給,The retired basketball player lives on his pension. （その引退したバスケットボール選手は年金で暮らしています。）
infection,感染,感染、伝染、伝染病,He missed the basketball game because of a severe finger infection. （彼は重い指の感染症のため、バスケットボールの試合を欠場しました。）
acquaintance,知人,知人、面識、知識,I met an old acquaintance at the local basketball court. （私は地元のバスケットボールコートで古い知人に会いました。）
lean,もたれる,傾く、頼る、痩せた,He leaned forward to steal the ball from the opponent. （彼は相手からボールを奪うために体を前に傾けた。）
monarch,君主,君主、専制君主,The team's star player ruled the court like an absolute monarch. （そのチームのエース選手は、まるで絶対的な王者のようにコートを支配した。）
elect,選ぶ,～を選ぶ、～を選出する、～（すること）を選ぶ,The team members voted to elect him as their new basketball captain. （チームのメンバーは彼を新しいバスケットボールのキャプテンに選ぶために投票しました。）
pebble,小石,小石,He slipped on a small pebble on the outdoor basketball court. （彼は屋外のバスケットボールコートにあった小さな小石で滑ってしまった。）
reckon,数える、見なす,～と考える、～を計算する、～とみなす,The coach reckons our team has a good chance of winning the basketball tournament. （監督は私たちのチームがバスケットボールの大会で勝つ見込みが十分にあると考えています。）
recruit,募集する,～を募集する、～を採用する、新人,The coach managed to recruit a talented player for our basketball team. （監督は私たちのバスケットボールチームのために優秀な選手を勧誘することに成功した。）
skeptical,懐疑的な,懐疑的な、疑い深い,Many fans were skeptical about our team's chances of winning the basketball championship. （多くのファンは私たちのチームがバスケットボールの選手権で優勝する可能性に懐疑的でした。）
swear,宣誓する,～を誓う、断言する、罵り言葉を吐く,The players swore to give their best performance in the championship game. （選手たちは選手権大会で全力を尽くすことを誓いました。）
integrity,誠実さ,誠実、高潔、完全,Playing with integrity and respect is essential for our basketball team. （誠実さとリスペクトを持ってプレイすることは、私たちのバスケットボールチームにとって不可欠です。）
mature,成熟する,成熟した、熟す、熟成した,He is a mature basketball player who always makes calm decisions during the game. （彼は試合中に常に冷静な判断を下す、成熟したバスケットボール選手です。）
modify,修正する,修正する、変更する、修飾する,The coach decided to modify our defense strategy for the second half. （監督は後半に向けて私たちの守備戦略を変更することを決めた。）
nutrition,栄養,栄養、栄養物、栄養摂取,Good nutrition is essential for basketball players to play well throughout the game. （試合を通して素晴らしいプレーをするために、バスケットボール選手にとって適切な栄養は不可欠です。）
oral,口頭の,口頭の、口の、経口の,The coach gave oral instructions to the players during the timeout. （コーチはタイムアウト中に選手たちに口頭で指示を出しました。）
procedure,手続き,手順、手続き、処置,The referee explained the correct substitution procedure to the coach. （審判はコーチに正しい交代の手続きを説明した。）
ridiculous,ばかげた,ばかげた、滑稽な、あきれた,It is ridiculous to think that our team will lose the basketball match. （私たちのチームがそのバスケットボールの試合に負けると思うなんて馬鹿げています。）
